Symbol,Security,CIK,filing_accession,filing_date,fiscal_year,source_form,revenue_musd,net_income_musd,total_liabilities_musd,total_shareholders_equity_musd,cfo_musd,liabilities_to_shareholders_equity_ratio,partial_data,tag_used_revenue,tag_used_net_income,tag_used_total_liabilities,tag_used_total_shareholders_equity,tag_used_cfo
MMM,3M,0000066740,0000066740-24-000016,2/7/2024,2023,10-K,32681,-6995,45712,4807,6680,9.509465363,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AOS,A. O. Smith,0000091142,0000091142-24-000041,2/13/2024,2023,10-K,3852.8,556.6,1369.5,1844.4,670.3,0.742517892,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
ABT,Abbott Laboratories,0000001800,0001628280-24-005348,2/16/2024,2023,10-K,40109,5723,73214,38603,7261,1.896588348,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
ABBV,AbbVie,0001551152,0001551152-24-000011,2/20/2024,2023,10-K,54318,4863,134711,10360,22839,13.00299228,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
ACN,Accenture,0001467373,0001467373-24-000278,10/10/2024,2023,10-K,16224.3,1973.44,51245.31,25692.84,9524.27,1.99453661,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
ADBE,Adobe Inc.,0000796343,0000796343-24-000006,1/17/2024,2023,10-K,19409,5428,13261,16518,7302,0.802821165,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AMD,Advanced Micro Devices,0000002488,0000002488-24-000012,1/31/2024,2023,10-K,22680,854,67885,55892,1667,1.214574537,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AES,AES Corporation,0000874761,0000874761-24-000011,2/26/2024,2023,10-K,12668,249,44799,2488,3034,18.00602894,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AFL,Aflac,0000004977,0000004977-24-000053,2/22/2024,2023,10-K,4800,4659,104739,21985,3190,4.764111894,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
A,Agilent Technologies,0001090872,0001090872-24-000049,12/20/2024,2023,10-K,6833,1240,4918,5845,1772,0.841402908,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
APD,Air Products,0000002969,0000002969-23-000047,11/16/2023,2023,10-K,12600,2300.2,16342.2,14312.9,3205.7,1.14178119,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivitiesContinuingOperations
ABNB,Airbnb,0001559720,0001559720-24-000006,2/16/2024,2023,10-K,9917,4792,12480,8165,3884,1.528475199,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
AKAM,Akamai Technologies,0001086222,0001086222-24-000040,2/28/2024,2023,10-K,3811.92,547.63,5302.88,4597.15,1348.44,1.153514678,TRUE,,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
ALB,Albemarle Corporation,0000915913,0000915913-24-000016,2/15/2024,2023,10-K,9617.2,1573.48,18270.65,9412.18,1325.32,1.941170908,FALSE,us-gaap:Revenues,us-gaap:NetIncomeLoss,us-gaap:LiabilitiesAndStockholdersEquity,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
ARE,Alexandria Real Estate Equities,0001035443,0001035443-24-000072,1/29/2024,2023,10-K,2885.699,103.64,14148.41,18471.17,1630.55,0.765972594,TRUE,,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
ALGN,Align Technology,0001097149,0001097149-24-000011,2/28/2024,2023,10-K,3862.26,445.05,2453.39,3630.49,785.78,0.675773794,FALSE,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:NetIncomeLoss,us-gaap:Liabilities,us-gaap:StockholdersEquity,us-gaap:NetCashProvidedByUsedInOperatingActivities
